# Canada-France-Hawaii Telescope / MegaPrime/MegaCam
# MegaCam 3rd generation i filter (installed in 2015)
# The filter response includes the full telescope (mirror+optics+CCD) response and also 1.25 airmasses of atmospheric attenuation.
# 
# Downloaded from https://svo2.cab.inta-csic.es/theory/fps/index.php?id=CFHT/MegaCam.i&&mode=browse&gname=CFHT&gname2=MegaCam on 07/24/2025
# 
# WAVELENGTH [A] | TRANSMISSION
6.800500000000000000e+03 0.000000000000000000e+00
6.801100000000000364e+03 5.162567800000000123e-04
6.826699999999999818e+03 1.030986299999999897e-03
6.852100000000000364e+03 1.029078699999999916e-03
6.877100000000000364e+03 1.275067699999999976e-03
6.901800000000000182e+03 2.657942500000000114e-03
6.926100000000000364e+03 8.355916499999999428e-03
6.950699999999999818e+03 3.286140800000000167e-02
6.974300000000000182e+03 1.329461999999999866e-01
6.997600000000000364e+03 3.598920999999999926e-01
7.020399999999999636e+03 4.846812999999999816e-01
7.045899999999999636e+03 4.748533999999999811e-01
7.071800000000000182e+03 4.819887999999999950e-01
7.097899999999999636e+03 4.934934000000000265e-01
7.123300000000000182e+03 4.929772000000000043e-01
7.148399999999999636e+03 4.855245999999999729e-01
7.173199999999999818e+03 4.558772999999999853e-01
7.197699999999999818e+03 4.317287000000000208e-01
7.222000000000000000e+03 4.733322999999999836e-01
7.246399999999999636e+03 4.468720999999999943e-01
7.270100000000000364e+03 4.367522999999999822e-01
7.293399999999999636e+03 4.384062000000000237e-01
7.316399999999999636e+03 4.462441999999999798e-01
7.339000000000000000e+03 4.655820999999999987e-01
7.361399999999999636e+03 4.694965999999999862e-01
7.383800000000000182e+03 4.751849000000000212e-01
7.405399999999999636e+03 4.769738000000000033e-01
7.426600000000000364e+03 4.765126000000000084e-01
7.447500000000000000e+03 4.742507000000000250e-01
7.471000000000000000e+03 4.753986000000000045e-01
7.494600000000000364e+03 4.723945999999999978e-01
7.518500000000000000e+03 4.713451000000000168e-01
7.541500000000000000e+03 4.700918000000000041e-01
7.564300000000000182e+03 4.660970999999999864e-01
7.586800000000000182e+03 4.536510999999999738e-01
7.609000000000000000e+03 1.392319999999999947e-01
7.630899999999999636e+03 2.234381000000000006e-01
7.652899999999999636e+03 3.257430000000000048e-01
7.674199999999999818e+03 4.075342000000000131e-01
7.695100000000000364e+03 4.314832000000000112e-01
7.715600000000000364e+03 4.370819000000000232e-01
7.735800000000000182e+03 4.345171999999999923e-01
7.755699999999999818e+03 4.342046999999999990e-01
7.776000000000000000e+03 4.346338000000000146e-01
7.798000000000000000e+03 4.322653000000000190e-01
7.819699999999999818e+03 4.270316000000000112e-01
7.841100000000000364e+03 4.175394000000000050e-01
7.862199999999999818e+03 4.084569000000000116e-01
7.883100000000000364e+03 3.996913000000000271e-01
7.904000000000000000e+03 3.956064000000000247e-01
7.924199999999999818e+03 3.941423000000000010e-01
7.944100000000000364e+03 3.967175000000000007e-01
7.963600000000000364e+03 3.918708000000000191e-01
7.982800000000000182e+03 3.916799000000000253e-01
8.003600000000000364e+03 3.873173999999999784e-01
8.024100000000000364e+03 3.842362999999999751e-01
8.044300000000000182e+03 3.809795999999999738e-01
8.064300000000000182e+03 3.777737999999999929e-01
8.083899999999999636e+03 3.735213000000000005e-01
8.103199999999999818e+03 3.646588000000000052e-01
8.122600000000000364e+03 3.541732000000000213e-01
8.141300000000000182e+03 3.358707000000000220e-01
8.159600000000000364e+03 3.251866999999999952e-01
8.177500000000000000e+03 3.145187999999999873e-01
8.195100000000000364e+03 3.269701999999999886e-01
8.213700000000000728e+03 3.396490999999999816e-01
8.233299999999999272e+03 2.982109000000000010e-01
8.252299999999999272e+03 3.339663999999999966e-01
8.270899999999999636e+03 3.254058000000000228e-01
8.289200000000000728e+03 3.134751000000000065e-01
8.307200000000000728e+03 3.165853000000000139e-01
8.324899999999999636e+03 3.099213000000000107e-01
8.342600000000000364e+03 3.112044999999999950e-01
8.359500000000000000e+03 3.088860999999999968e-01
8.376100000000000364e+03 3.075160000000000116e-01
8.392299999999999272e+03 3.059078000000000075e-01
8.408200000000000728e+03 3.025353000000000070e-01
8.424500000000000000e+03 3.014871000000000079e-01
8.442799999999999272e+03 2.953456999999999888e-01
8.460399999999999636e+03 2.925967999999999902e-01
8.477700000000000728e+03 2.871902000000000066e-01
8.494600000000000364e+03 2.768211999999999895e-01
8.511200000000000728e+03 2.509750000000000036e-01
8.527500000000000000e+03 2.000415000000000110e-01
8.543700000000000728e+03 1.294926999999999884e-01
8.559299999999999272e+03 7.387077799999999805e-02
8.574500000000000000e+03 3.948400199999999721e-02
8.589299999999999272e+03 2.146302699999999911e-02
8.603700000000000728e+03 1.225002499999999946e-02
8.617799999999999272e+03 7.273050999999999995e-03
8.631700000000000728e+03 4.800248899999999888e-03
8.644899999999999636e+03 3.431744400000000163e-03
8.657799999999999272e+03 2.604969099999999982e-03
8.670200000000000728e+03 2.066738199999999890e-03
8.682200000000000728e+03 1.791957999999999962e-03
8.693799999999999272e+03 1.521202900000000018e-03
8.705100000000000364e+03 1.509322999999999915e-03
8.715799999999999272e+03 1.495895599999999895e-03
8.726100000000000364e+03 1.483211300000000007e-03
8.734200000000000728e+03 0.000000000000000000e+00
